#separator:tab
#html:true
List	alt, jung, breit, dick, dünn, hoch, tief, lang, schwer		
list	verbs of saying, when introducing indirect speech, after verbs (and other expressions) of feeling, perceiving, hoping, thinking, believing 		
list	das heißt, im Gegenteil, kurz, kurzum, kurz gesagt, kurz und gut, mit anderen Worten, nun, na, sehen Sie, siehst du, so/well then, unter uns gesagt, weiß Gott, wie gesagt, wissen Sie, weißt du, zugegeben/admittedly <br>-zum Beispiel, erstens/firstly, zweitens/secondly, natürlich, offen gesagt 		
list	a.hnlich*, angenehm t, begreiflich, behilflich, bekannt, bequem, bewusst, böse, dankbar, eigen, entbehrlich t, ergeben, fern, fremd, gefa.hrlich t, gefa.llig, nicht geheur, gehorsam, gela.ufig, gemeinsam, gerecht, gesinnt, gewogen, gu.nstig, heilig, hinderlich, klar, la.stig t, leicht t, mo.glich t, nahe *, no.tig, nu.tzlich t, peinlich t, scha.dlich t, schuldig, schwer, teuer, treu *, u.berlegen, verhasst, versta.ndlich t, wichtig t, widerlich, willkommen, zuga.nglich t, zutra.glich 		
predicative	abhold, feind, freund, gram, hold, untertan, zugetan, zuwider, einerlei, egal, gleich, piepe, schnuppe, wurs(ch)t		
list	der Buchstabe - letter (alphabet)<br>der Friede - freedom<br>der Funke - spark<br>der Gedanke - idea, thought<br>der Glaube - faith<br>der Haufen - heap<br>der Name - name<br>der Samen - seed<br>der Wille - will<br>der Schaden - damage<br>das Herz		
list	alpen<br>eltern<br>annalen<br>leute<br>data<br>daten<br>island countries<br>ferien<br>fische<br>fritten<br>fohlen<br>gebein<br>gebrueder<br>gedaerme<br>gezeiten<br>haendel<br>karten<br>noten<br>klugheit<br>kosten<br>kroeten<br>masern<br>maeuse<br>miese<br>menschenrechte<br>nachrichten<br>niederlande<br>philippinen<br>penne<br>pruegel<br>ramen<br>reichtum<br>richter<br>schellen<br>shorts<br>staaten<br>tage<br>truemmer<br>usa<br>zuender<br>zwillinge		
list	das Weltall<br>das Brom<br>das Chaos<br>der Schlaf		
list	Gürtel<br>Kasus<br>Kuchen<br>Lebewesen<br>Mündel		
list	Band, das&nbsp;&nbsp;&nbsp; die Bänder&nbsp;&nbsp;&nbsp; Gurt, Streifen<br>Band, der&nbsp;&nbsp;&nbsp; die Bände&nbsp;&nbsp;&nbsp; Buch<br>Band, die&nbsp;&nbsp;&nbsp; die Bands&nbsp;&nbsp;&nbsp; Musikgruppe<br>Bank, die&nbsp;&nbsp;&nbsp; die Banken&nbsp;&nbsp;&nbsp; Geldinstitut<br>Bank, die&nbsp;&nbsp;&nbsp; die Bänke&nbsp;&nbsp;&nbsp; Sitzgelegenheit<br>Bau, der&nbsp;&nbsp;&nbsp; die Bauten&nbsp;&nbsp;&nbsp; Errichtung<br>Bau, der&nbsp;&nbsp;&nbsp; die Baue&nbsp;&nbsp;&nbsp; Unterschlupf für Tiere<br>Bund, das&nbsp;&nbsp;&nbsp; die Bunde&nbsp;&nbsp;&nbsp; Bündel, Gebundenes<br>Bund, der&nbsp;&nbsp;&nbsp; die Bünde&nbsp;&nbsp;&nbsp; Bündnis, Vereinigung<br>Erbe, das&nbsp;&nbsp;&nbsp; die Erbschaften&nbsp;&nbsp;&nbsp; Nachlass<br>Erbe, der&nbsp;&nbsp;&nbsp; die Erben&nbsp;&nbsp;&nbsp; Erbberechtigter<br>Flur, der&nbsp;&nbsp;&nbsp; die Flure&nbsp;&nbsp;&nbsp; Gang (z. B. im Haus)<br>Flur, die&nbsp;&nbsp;&nbsp; die Fluren&nbsp;&nbsp;&nbsp; Fläche, Gelände<br>Gehalt, das&nbsp;&nbsp;&nbsp; die Gehälter&nbsp;&nbsp;&nbsp; Einkommen<br>Gehalt, der&nbsp;&nbsp;&nbsp; die Gehalte&nbsp;&nbsp;&nbsp; Wert<br>Gericht, das&nbsp;&nbsp;&nbsp; die Gerichte&nbsp;&nbsp;&nbsp; Essen<br>Gericht, das&nbsp;&nbsp;&nbsp; die Gerichte&nbsp;&nbsp;&nbsp; Gerichtshof<br>Kiefer, der&nbsp;&nbsp;&nbsp; die Kiefer&nbsp;&nbsp;&nbsp; Knochen im Gesicht<br>Kiefer, die&nbsp;&nbsp;&nbsp; die Kiefern&nbsp;&nbsp;&nbsp; Nadelbaum<br>Laster, das&nbsp;&nbsp;&nbsp; die Laster&nbsp;&nbsp;&nbsp; schlechte Gewohnheit<br>Laster, der&nbsp;&nbsp;&nbsp; die Laster&nbsp;&nbsp;&nbsp; Lastkraftwagen<br>Leiter, der&nbsp;&nbsp;&nbsp; die Leiter&nbsp;&nbsp;&nbsp; Führungsperson<br>Leiter, die&nbsp;&nbsp;&nbsp; die Leitern&nbsp;&nbsp;&nbsp; Klettergerät<br>Lob, das&nbsp;&nbsp;&nbsp; die Lobe oder Lobsprüche&nbsp;&nbsp;&nbsp; anerkennende Worte<br>Lob, der&nbsp;&nbsp;&nbsp; die Lobs&nbsp;&nbsp;&nbsp; Schlagart beim Tennis<br>Mal, das&nbsp;&nbsp;&nbsp; die Male&nbsp;&nbsp;&nbsp; kennzeichnender Fleck<br>Mal, das&nbsp;&nbsp;&nbsp; die Mäler&nbsp;&nbsp;&nbsp; architektonisches Gebilde<br>Mal, das&nbsp;&nbsp;&nbsp; die Male&nbsp;&nbsp;&nbsp; Zeitpunkt, Ereignis<br>Mast, der&nbsp;&nbsp;&nbsp; die Maste oder Masten&nbsp;&nbsp;&nbsp; Pfahl<br>Mast, die&nbsp;&nbsp;&nbsp; die Masten&nbsp;&nbsp;&nbsp; Fütterung von Tieren<br>Schild, das&nbsp;&nbsp;&nbsp; die Schilder&nbsp;&nbsp;&nbsp; Etikett, Hinweis<br>Schild, der&nbsp;&nbsp;&nbsp; die Schilde&nbsp;&nbsp;&nbsp; Schutz<br>See, der&nbsp;&nbsp;&nbsp; die Seen&nbsp;&nbsp;&nbsp; Binnengewässer<br>See, die&nbsp;&nbsp;&nbsp; –&nbsp;&nbsp;&nbsp; Meer<br>Tau, das&nbsp;&nbsp;&nbsp; die Taue&nbsp;&nbsp;&nbsp; Leine, Strick<br>Tau, der&nbsp;&nbsp;&nbsp; –&nbsp;&nbsp;&nbsp; Feuchtigkeit der Luft<br>Tor, das&nbsp;&nbsp;&nbsp; die Tore&nbsp;&nbsp;&nbsp; Treffer im Sport<br>Tor, das&nbsp;&nbsp;&nbsp; die Tore&nbsp;&nbsp;&nbsp; Portal, Zugang<br>Tor, der&nbsp;&nbsp;&nbsp; die Toren&nbsp;&nbsp;&nbsp; weltfremder Mensch<br>Verdienst, das&nbsp;&nbsp;&nbsp; die Verdienste&nbsp;&nbsp;&nbsp; Erfolg<br>Verdienst, der&nbsp;&nbsp;&nbsp; die Verdienste&nbsp;&nbsp;&nbsp; Bezahlung<br>Wort, das&nbsp;&nbsp;&nbsp; die Worte&nbsp;&nbsp;&nbsp; Aussage, Äußerung<br>Wort, das&nbsp;&nbsp;&nbsp; die Wörter&nbsp;&nbsp;&nbsp; Teil eines Satzes		
list	insekt<br>strahl<br>schmerz<br>achtel<br>adverb<br>-or<br>alb<br>bau<br>faktor<br>vektor<br>baer<br>buchstabe<br>staat<br>aeon<br>aequator<br>archetyp<br>auge<br>armadill<br>aromat<br>armreif<br>artikelende<br>ohr<br>autor<br>axon<br>motor<br>see<br>-on<br>fleck<br>muskel<br>fussel<br>hemd<br>bett<br>stachel<br>blag<br>sensor<br>kerl<br>-graf<br>chromosom<br>concierge<br>bauer<br>geraeusche<br>daemon<br>demiurg<br>doktor<br>dorn<br>eck<br>ehemann<br>elektron<br>elf<br>ende<br>etikett<br>fakt<br>fasan<br>sekunde<br>forst<br>foton<br>fotz<br>gatt<br>germ<br>glas<br>-typ<br>hahn<br>hendl<br>helle<br>huf<br>interesse<br>ion<br>jung<br>juwel<br>kamikaze<br>karaoke<br>kaes<br>kipfel<br>konklave<br>konsul<br>kramm<br>laube<br>lorbeer<br>maat<br>maedel<br>mandel<br>mann<br>mast<br>modalverb<br>mode<br>modul<br>monitor<br>mosaik<br>murmel<br>musche<br>pantoffel<br>papagei<br>pfau<br>plunder<br>pronom<br>reif<br>requisit<br>schar<br>schott<br>schranze<br>sms<br>staat<br>statut<br>Topp<br>traeber<br>truemmer<br>untertan<br>vasall<br>viertel<br>vokabel<br>vize<br>watt<br>weck<br>zeh<br>zink<br>zins		
list	Alte<br>Architekt<br>Automat<br>Bär bear<br>Bauer<br>Beamte<br>Bote<br>Bursche<br>Deutsche<br>Einheimische<br>Erwachsene<br>Franzose<br>Fremde<br>Fürst<br>Gatte<br>Gefangene<br>Gelehrte<br>Graf<br>Heilige<br>Held<br>Herr<br>Hirt<br>Kamerad<br>Kollege<br>Kommandant<br>Kunde<br>Löwe<br>Mensch<br>Nachbar<br>Junge<br>Käse<br>Planet<br>Präsident<br>Prinz<br>Riese<br>Soldat<br>Tor<br>Verwandte<br>Neffe<br>Name<br>Fels<br>Jude<br>Erbe<br>Polizist <br>Assistent<br>Philosoph <br>Despot <br>Astronom <br>Gymnasiast <br>Narr <br>Bauer <br>Abonnent<br>Agent<br>Ahn<br>Abkomme<br>Aktivist<br>Alchemist<br>Amtskollege<br>Android<br>Angel<br>Angsthase<br>Automat<br>Boese<br>Bube<br>Christ<br>Deckname<br>Dateiname<br>Elbe<br>Funke<br>Gasplanet<br>Gedanke<br>Gehilfe<br>Genosse<br>Gespan<br>Glaube<br>Graf<br>helot<br>hirt<br>kakerlak<br>kandidat<br>terrorist<br>komet<br>koeffizient<br>kojote<br>konsonant<br>konkurrent<br>kulak<br>kunde<br>legat<br>mandant<br>meteorit<br>experte<br>mohr<br>mond<br>nachfahre<br>nachkomme<br>nerv<br>nibelung<br>novize<br>oberst<br>ochse<br>opponent<br>page<br>paragraf<br>papagei<br>parasit<br>patient<br>pilot<br>pirat<br>postbote<br>praesident<br>produzent<br>rabe<br>rabauke<br>rebell<br>rekrut<br>rhomboid<br>riese<br>ritte<br>same<br>schade<br>schecke<br>schenk<br>schotte<br>schurke<br>sklave<br>spatz<br>strauss<br>stutz<br>student<br>telegraf<br>tor<br>tragoede<br>typ<br>untertan<br>vasall<br>vollidiot<br>vorfahre<br>weisse<br>zapfe<br>zehnt<br>soldat<br>zeuge		
list	bitten<br>schreiben<br>uebersetzen		
list	modals, brauchen, heissen, lassen, sehen, fuehlen, helfen, hoeren		
list	behaupten<br>glauben<br>meinen<br>war uberzeugt<br>bekommen<br>bleiben<br>brauchen<br>drohen<br>geben w denken, erkennen, verstehen<br>es gibt<br>gedenken<br>gehen (colloq, possibility, passive)<br>haben (necessity or obligation, alt to muessen or sollen)<br>kommen (chance result)<br>pflegen (to be accustomed to, formal)<br>scheinen<br>sein (equiv of koennen or sometimes muessen or sollen)<br>suchen (try, seek, formal)<br>versprechen (subj usually inanimate, involuntary action w something desirable)<br>verstehen<br>wissen (know how to)		
