#separator:tab
#html:true
List	alt, jung, breit, dick, dünn, hoch, tief, lang, schwer		
list	jemanden anbieten, anfangen, aufhören, beabsichtigen, beginnen, behaupten, dazu beitragen, drohen, entscheiden, erlauben, sich freuen, geloben, glauben, helfen, hoffen, lernen, sich leisten, dazu neigen, planen, schwören, dazu tendieren, vereinbaren, vergessen, versäumen, versprechen, versuchen, vorhaben, vorschlagen		
what are the accusative prepositions?	betreffend, bis, durch, fuer, gegen, ohne, um, wider		
what are the dative prepositions?	ab, aus, ausser, bei, entgegen, entsprechend, gegenueber, gemaess, laut, mit, (mit)samt, nach, nahe, seit, von, zu		
What are the two way prepositions?	an, auf, hinter, hinter, in, neben, ueber, unter, vor, zwischen		
what are the genitive prepositions?	(an)statt, abzueglich, angesichts, ausserhalb, bar, bezueglich, binnen, dank (d), einschliesslich, infolge, inmitten, innerhalb, mangels, mittels, oberhalb, unbeschadet, ungeachtet, unterhalb, unweit, zugunsten, trotz (d), waehrend, wegen (dat common)		
w	sein, werden, bleiben, heissen, scheinen		
wha	gut bange heiss kalt schlecht schwindlig u.bel warm (un)wohl		
w	auBer, gegenu.ber, ohne, seit, all gens		
list	beiBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>biegen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>bieten&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>bleiben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>brennen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>bringen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>denken&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>dreschen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>du.rfen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>erwa.gen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>fliegen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>fliehen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>flieBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>frieren&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>ga.ren&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>gedeihen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>genieBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>gieBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>gleichen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>gleiten&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>greifen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>heben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>kennen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>kneifen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>kriechen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>leiden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>leihen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>lu.gen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>meiden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>mo.gen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>nennen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>pfeifen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>preisen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>quellen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>reiben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>reiBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>reiten&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>rennen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>riechen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>saufen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>scheiden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>scheinen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>scheren&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schieben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schieBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schleichen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schlieBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schmeiBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schmelzen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schneiden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schreiben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schreien&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schreiten&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schweigen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schwellen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schwo.ren&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>speien&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>sprieBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>stehen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>steigen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>streichen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>streiten&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>treiben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>tru.gen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>verlieren&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>weichen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>weisen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>wiegen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>wissen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>ziehen&nbsp;		
list	essen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>gehen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>haben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>helfen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>nehmen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>sein&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>sitzen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>sprechen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>treffen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>trinken&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>werden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>befehlen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>beginnen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>empfehlen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>erschrecken&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>finden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>gewinnen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>kommen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>liegen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>rufen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schwimmen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>singen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>sinken&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>springen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>stechen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>stehlen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>sterben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>stinken&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>tun&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>verderben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>werfen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>zwingen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>binden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>bitten&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>brechen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schwinden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>bergen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>ein|dringen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>empfinden&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>gelingen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>heiBen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>klingen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>misslingen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>schlingen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>spinnen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>werben&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>geba.ren&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>gelten&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>ringen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>rinnen&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>sinnen&nbsp; &nbsp; &nbsp;		
